product,amount
POWDER PEPPER WHITE GROUND,$16.29 
POWDER RED PEPPER ROASTED #10,$6.21 
POWDER SEAFOOD SEASONING,$8.20 
POWDER TUMERIC GROUND,$7.79 
QUINOA,$9.99 
RAISIN ,$1.68 
RAISIN PC,$0.03 
RICE BARS,$0.67 
RICE BASMATI,$1.41 
RICE JASMINE,$0.70 
RICE LONG GRAIN,$0.30 
RICE NOODLES 1LB,$4.67 
SALSA TOSTITOS,$1.78 
SALT IODIZED,$0.62 
SAUCE BBQ GAL,$3.93 
SAUCE COCKTAIL 8OZ,$3.49 
SAUCE CRANBERRY,$2.99 
SAUCE HONEY MUSTARD GAL.,$1.23 
SAUCE LEMON BUTTER,$2.59 
SAUCE SOY GAL,$8.16 
SAUCE SWEET CHILLI,$0.39 
SAUCE TOBASCO PC,$0.37 
SAUSAGE VIENNA,$0.74 
SNACK GRANOLA CRANBERRY,$0.63 
SNACK GRANOLA OATS & HONEY,$0.28 
SODA,$0.58 
SUGAR BROWN,$1.07 
SUGAR FONDANT,$1.08 
SUGAR GRANULATED,$0.70 
SWEET GHERKINS,$10.04 
SYRUP BREAKFAST PC,$0.11 
SYRUP CARAMEL HERSHEY 22OZ,$2.30 
SYRUP CHOCOLATE HERSHEYS,$2.30 
SYRUP STRAWBERRY,$1.99 
TANDORI PASTE,$5.59 
TEA ASSORTED,$3.27 
TEA GINGER,$3.48 
TEA MINT,$2.96 
TOMATO DICED CAN,$3.75 
TOMATO KETCHUP,$3.79 
TOMATO KETCHUP PC,$0.03 
TOMATO PASTE,$3.84 
TOMATO SAUCE CAN,$3.63 
TOMATO SUNDRIED 32 OZ,$5.99 
TUNA 665OZ,$1.35 
VANILLA EXTRACT,$3.26 
VINEGAR WHITE,$1.52 
WALNUT HALVES & PIECES,$6.53 
WATER 1.5OZ,$0.55 
WATER 1LT,$0.37 
WATER 330 ML,$0.80 
WATER 500 ML,$0.90 
WATER CRYSTAL GEYSER 1.5L,$9.93 
WATER CRYSTAL GEYSER 1L,$9.28 
WATER FIJI,$1.35 
WATER PERRIER 23 OZ,$4.69 
WATER PERRIER LIME 11.5 OZ,$1.19 
WINE COOKING,$3.43 
